1,1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,1
1,2,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,2
1,3,الرَّحْمَٰنِ الرَّحِيمِ,3
1,4,مَالِكِ يَوْمِ الدِّينِ,4
1,5,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,5
1,6,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ,6
1,7,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ,7
2,1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ الم,8
2,2,ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِلْمُتَّقِينَ,9
2,3,الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنْفِقُونَ,10
